,y,in_out,avg_in_m,avg_out_m,small_eti,sum_b100_out,sum_b500_out,sum_b1k_out,sum_a1k_out,avg_b100_out,avg_b500_out,avg_b1k_out,avg_a1k_out,sum_b500_in,sum_b1k_in,sum_b5k_in,sum_b10k_in,sum_a10k_in,avg_b500_in,avg_b1k_in,avg_b5k_in,avg_b10k_in,avg_a10k_in,t_sum_b100_out,t_sum_b500_out,t_sum_b1k_out,t_sum_a1k_out,t_sum_b500_in,t_sum_b1k_in,t_sum_b5k_in,t_sum_b10k_in,t_sum_a10k_in,eti_b100_in1k,eti_b500_in1k,eti_b1k_in1k,eti_a1k_in1k,eti_b100_in5k,eti_b500_in5k,eti_b1k_in5k,eti_a1k_in5k,eti_b100_in10k,eti_b500_in10k,eti_b1k_in10k,eti_a1k_in10k,eti_b100_ina10k,eti_b500_ina10k,eti_b1k_ina10k,eti_a1k_ina10k,eti_b100_in,eti_b500_in,eti_b1k_in,eti_a1k_in
HPF103C,1,0.25,229582,228108,0.588496,5810,69565,59733,93000,49.23729,231.113,523.9737,1576.271,2599.47,20620.02,182660.7,23701.83,,129.9735,589.1434,2052.367,5925.457,,118,301,114,59,20,35,89,4,,0.281765,3.373663,2.896845,4.51018,0.031808,0.380843,0.327016,0.509141,0.245129,2.935005,2.520185,3.923748,,,,,0.025307,0.303007,0.260182,0.405084
HPF107G,1,0.276596,9357,9447.5,0.795928,1014,3733.5,2700,2000,44.08696,219.6176,540,1000,757,1200,7400,,,108.1429,600,1850,,,23,17,5,2,7,2,4,,,0.845,3.11125,2.25,1.666667,0.137027,0.504527,0.364865,0.27027,,,,,,,,,0.108368,0.399006,0.288554,0.213744
HPF108H,1,0.63253,94374.19,95142.4,0.376272,1212,23871.53,10426.85,59632.02,55.09091,219.0049,579.2694,3507.766,11837,7785,40253.19,11765,22734,169.1,556.0714,2367.835,5882.5,11367,22,109,18,17,70,14,17,2,2,0.155684,3.066349,1.339351,7.659861,0.030109,0.593034,0.259032,1.481423,0.103017,2.029029,0.88626,5.068595,0.053312,1.050037,0.458646,2.623032,0.012842,0.252946,0.110484,0.631868
HPF117G,3,0.672727,133001,134150.7,0.0732,618,3891.63,5226.06,124415,44.14286,216.2017,653.2575,8294.333,3377,4118,8506,5000,112000,187.6111,588.2857,2126.5,5000,16000,14,18,8,15,18,7,4,1,7,0.150073,0.945029,1.269077,30.21248,0.072655,0.457516,0.614397,14.62673,0.1236,0.778326,1.045212,24.883,0.005518,0.034747,0.046661,1.110848,0.004647,0.02926,0.039293,0.935444
HPF120J,3,0.781746,130252,129783.7,0.289913,4091.83,14602.88,19067,92022,38.2414,235.5303,657.4828,1704.111,15832,8550,100870,5000,,128.7154,570,1739.138,5000,,107,62,29,54,123,15,58,1,,0.478577,1.707939,2.230058,10.76281,0.040565,0.144769,0.189025,0.912283,0.818366,2.920576,3.8134,18.4044,,,,,0.031415,0.112113,0.146385,0.706492
HPF125E,3,0.355914,227932.3,228634.4,0.728384,12747.5,114632.9,38642,62612,41.93257,215.071,613.3651,2087.067,45858,33980,116545,11549.33,20000,225.9015,606.7857,1689.058,5774.665,20000,304,533,63,30,203,56,69,2,1,0.375147,3.373539,1.137198,1.842613,0.109378,0.983593,0.331563,0.537235,1.103744,9.925499,3.345822,5.421267,0.637375,5.731643,1.9321,3.1306,0.055927,0.502925,0.169533,0.274696
HPF126A,2,0.092784,27756,27631,0.346988,2201,5269,2161,18000,37.94828,175.6333,540.25,3600,1245,1436,,,25075,207.5,718,,,25075,58,30,4,5,6,2,,,1,1.53273,3.66922,1.504875,12.53482,,,,,,,,,0.087777,0.21013,0.086181,0.717846,0.079298,0.189833,0.077857,0.648508
HPF12B,1,0.341667,29765.88,29913.29,0.51495,1609.94,11318,2400,14585.35,39.26683,166.4412,600,2083.621,4620.88,3600,21545,,,171.1437,600,2693.125,,,41,68,4,7,27,6,8,,,0.447206,3.143889,0.666667,4.051486,0.074725,0.525319,0.111395,0.676971,,,,,,,,,0.054087,0.380234,0.080629,0.490002
HPF18H,1,0.579365,51077,51315.96,0.370205,2060,9217.95,7631,32407.01,49.04762,161.7184,635.9167,2160.467,8422,4655,31000,7000,,171.8776,665,1937.5,7000,,42,57,12,15,49,7,16,1,,0.442535,1.980226,1.639313,6.961764,0.066452,0.297353,0.246161,1.045387,0.294286,1.31685,1.090143,4.629573,,,,,0.040331,0.180472,0.149402,0.634474
HPF21A,2,0.353982,27934.67,27952.97,0.431005,3211.51,6042.99,2785.47,15913,47.22809,183.1209,696.3675,1989.125,2581.67,3000,9353,13000,,92.2025,500,2338.25,6500,,68,33,4,8,28,6,4,2,,1.070503,2.01433,0.92849,5.304333,0.343367,0.646102,0.297816,1.701379,0.247039,0.464845,0.214267,1.224077,,,,,0.114965,0.216326,0.099714,0.569651
HPF24D,4,0.559524,24581.33,24581,0.788444,513,11863,7005,5200,51.3,201.0678,538.8462,2600,7568.33,4108,7905,5000,,222.5979,586.8571,1581,5000,,10,59,13,2,34,7,5,1,,0.124878,2.88778,1.705209,1.265823,0.064896,1.500696,0.886148,0.657812,0.1026,2.3726,1.401,1.04,,,,,0.020869,0.482602,0.284972,0.211543
HPF29I,1,0.206897,6493,8075.74,0.506521,513.84,1975,800,4786.9,34.256,197.5,800,1595.633,493,,6000,,,123.25,,3000,,,15,10,1,3,4,,2,,,,,,,0.08564,0.329167,0.133333,0.797817,,,,,,,,,0.079138,0.304174,0.12321,0.73724
TU6030SUK.PP,2,1,32026,32026,,,,,32026,,,,32026,,,,,32026,,,,,32026,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,1
HPF03C,3,0.074074,7600,8320.05,0.405138,783.05,1076,1220,5241,41.21316,215.2,610,5241,100,,,7500,,100,,,7500,,19,5,2,1,1,,,1,,,,,,,,,,0.104407,0.143467,0.162667,0.6988,,,,,0.103033,0.141579,0.160526,0.689605
HPF17G,3,0.316832,85962,84616,0.09674,2856,2537,2923,76300,40.22535,140.9444,584.6,10900,3022,3000,7700,17840,54400,167.8889,500,1540,8920,54400,71,18,5,7,18,6,5,2,1,0.952,0.845667,0.974333,25.43333,0.370909,0.329481,0.37961,9.909091,0.16009,0.142209,0.163845,4.276906,0.0525,0.046636,0.053732,1.402574,0.033224,0.029513,0.034003,0.887601
HPF32B,1,0.675325,10391.4,13236.5,1.026185,1641.5,6458,2564,2573,51.29688,165.5897,641,1286.5,5676.4,1015,3700,,,120.7745,507.5,1233.333,,,32,39,4,2,47,2,3,,,1.617241,6.362562,2.526108,2.534975,0.443649,1.745405,0.692973,0.695405,,,,,,,,,0.157967,0.621475,0.246742,0.247609
SWU6210TIP.JAI,3,0.506024,6317,6445,1.020263,2218,4227,,,37.59322,176.125,,,3882,1435,1000,,,99.53846,717.5,1000,,,59,24,,,39,2,1,,,1.545645,2.945645,,,2.218,4.227,,,,,,,,,,,0.351116,0.669147,,
TU6209LAN.PH,3,0.603896,72822.53,73492.89,0.315958,2327.49,12229.33,8452.03,50484.04,37.54016,210.8505,563.4687,2657.055,7524.19,6894,36904.34,21500,,115.7568,689.4,2636.024,5375,,62,58,15,19,65,10,14,4,,0.337611,1.773909,1.225998,7.322895,0.063068,0.331379,0.229025,1.36797,0.108255,0.568806,0.393118,2.348095,,,,,0.031961,0.167933,0.116063,0.693248
